"data";"valor"
"01/01/1995";"102,3"
"01/02/1995";"45,2"
"01/03/1995";"87,3"
"01/04/1995";"62,3"
"01/05/1995";"220,7"
"01/06/1995";"122,7"
"01/07/1995";"198,9"
"01/08/1995";"342,5"
"01/09/1995";"169,3"
"01/10/1995";"80,1"
"01/11/1995";"40,5"
"01/12/1995";"62,0"
"01/01/1996";"39,9"
"01/02/1996";"43,5"
"01/03/1996";"14,0"
"01/04/1996";"18,3"
"01/05/1996";"66,1"
"01/06/1996";"53,4"
"01/07/1996";"169,9"
"01/08/1996";"61,7"
"01/09/1996";"136,9"
"01/10/1996";"106,4"
"01/11/1996";"40,2"
"01/12/1996";"352,7"
"01/01/1997";"60,3"
"01/02/1997";"31,3"
"01/03/1997";"35,6"
"01/04/1997";"291,6"
"01/05/1997";"86,4"
"01/06/1997";"61,8"
"01/07/1997";"116,8"
"01/08/1997";"96,3"
"01/09/1997";"136,9"
"01/10/1997";"96,4"
"01/11/1997";"221,7"
"01/12/1997";"79,5"
"01/01/1998";"104,4"
"01/02/1998";"62,1"
"01/03/1998";"56,1"
"01/04/1998";"63,9"
"01/05/1998";"114,2"
"01/06/1998";"143,4"
"01/07/1998";"346,4"
"01/08/1998";"255,9"
"01/09/1998";"1102,1"
"01/10/1998";"356,3"
"01/11/1998";"260,1"
"01/12/1998";"160,4"
"01/01/1999";"413,2"
"01/02/1999";"139,6"
"01/03/1999";"115,9"
"01/04/1999";"198,3"
"01/05/1999";"61,4"
"01/06/1999";"212,7"
"01/07/1999";"88,9"
"01/08/1999";"82,9"
"01/09/1999";"169,6"
"01/10/1999";"204,7"
"01/11/1999";"258,3"
"01/12/1999";"230,5"
"01/01/2000";"162,0"
"01/02/2000";"437,9"
"01/03/2000";"120,3"
"01/04/2000";"45,8"
"01/05/2000";"131,4"
"01/06/2000";"356,9"
"01/07/2000";"403,6"
"01/08/2000";"686,5"
"01/09/2000";"438,8"
"01/10/2000";"242,4"
"01/11/2000";"149,1"
"01/12/2000";"337,1"
"01/01/2001";"199,0"
"01/02/2001";"120,1"
"01/03/2001";"145,5"
"01/04/2001";"61,1"
"01/05/2001";"262,8"
"01/06/2001";"321,6"
"01/07/2001";"131,2"
"01/08/2001";"328,4"
"01/09/2001";"299,4"
"01/10/2001";"122,5"
"01/11/2001";"737,0"
"01/12/2001";"123,9"
"01/01/2002";"47,8"
"01/02/2002";"373,0"
"01/03/2002";"273,2"
"01/04/2002";"321,3"
"01/05/2002";"217,9"
"01/06/2002";"102,8"
"01/07/2002";"689,5"
"01/08/2002";"326,8"
"01/09/2002";"376,4"
"01/10/2002";"73,7"
"01/11/2002";"70,8"
"01/12/2002";"192,0"
"01/01/2003";"199,5"
"01/02/2003";"298,1"
"01/03/2003";"302,5"
"01/04/2003";"61,9"
"01/05/2003";"171,1"
"01/06/2003";"89,1"
"01/07/2003";"187,8"
"01/08/2003";"138,8"
"01/09/2003";"135,2"
"01/10/2003";"90,0"
"01/11/2003";"39,3"
"01/12/2003";"282,0"
"01/01/2004";"212,0"
"01/02/2004";"39,2"
"01/03/2004";"289,2"
"01/04/2004";"108,1"
"01/05/2004";"46,9"
"01/06/2004";"602,1"
"01/07/2004";"799,9"
"01/08/2004";"7058,6"
"01/09/2004";"581,8"
"01/10/2004";"248,5"
"01/11/2004";"330,4"
"01/12/2004";"780,9"
"01/01/2005";"77,5"
"01/02/2005";"104,9"
"01/03/2005";"876,7"
"01/04/2005";"133,8"
"01/05/2005";"835,0"
"01/06/2005";"363,2"
"01/07/2005";"367,9"
"01/08/2005";"214,1"
"01/09/2005";"243,0"
"01/10/2005";"157,2"
"01/11/2005";"663,2"
"01/12/2005";"242,2"
"01/01/2006";"1292,8"
"01/02/2006";"1878,2"
"01/03/2006";"251,5"
"01/04/2006";"455,5"
"01/05/2006";"496,3"
"01/06/2006";"872,0"
"01/07/2006";"763,4"
"01/08/2006";"1646,4"
"01/09/2006";"1501,0"
"01/10/2006";"15163,5"
"01/11/2006";"2207,4"
"01/12/2006";"3614,0"
"01/01/2007";"2047,9"
"01/02/2007";"687,9"
"01/03/2007";"2545,7"
"01/04/2007";"485,0"
"01/05/2007";"802,1"
"01/06/2007";"1037,1"
"01/07/2007";"1597,2"
"01/08/2007";"710,0"
"01/09/2007";"4300,7"
"01/10/2007";"6142,8"
"01/11/2007";"5402,1"
"01/12/2007";"5645,0"
"01/01/2008";"3250,5"
"01/02/2008";"1464,8"
"01/03/2008";"3046,8"
"01/04/2008";"2911,3"
"01/05/2008";"2247,6"
"01/06/2008";"2188,6"
"01/07/2008";"2085,1"
"01/08/2008";"5114,0"
"01/09/2008";"4242,0"
"01/10/2008";"2098,8"
"01/11/2008";"2352,7"
"01/12/2008";"4473,8"
"01/01/2009";"646,9"
"01/02/2009";"824,0"
"01/03/2009";"1084,4"
"01/04/2009";"3348,6"
"01/05/2009";"602,8"
"01/06/2009";"2167,0"
"01/07/2009";"781,2"
"01/08/2009";"1221,4"
"01/09/2009";"2098,2"
"01/10/2009";"705,5"
"01/11/2009";"664,4"
"01/12/2009";"1851,2"
"01/01/2010";"2244,3"
"01/02/2010";"5965,1"
"01/03/2010";"3072,8"
"01/04/2010";"3132,4"
"01/05/2010";"4954,0"
"01/06/2010";"2410,4"
"01/07/2010";"4313,2"
"01/08/2010";"2196,5"
"01/09/2010";"2777,8"
"01/10/2010";"3839,4"
"01/11/2010";"1660,6"
"01/12/2010";"8135,6"
"01/01/2011";"2329,0"
"01/02/2011";"1785,1"
"01/03/2011";"10269,3"
"01/04/2011";"4728,9"
